utilization.gpu [%], memory.used [MiB]
0 %, 1 MiB
84 %, 2117 MiB
86 %, 2117 MiB
85 %, 2117 MiB
86 %, 2117 MiB
85 %, 2117 MiB
85 %, 2117 MiB
86 %, 2117 MiB
85 %, 2117 MiB
84 %, 2117 MiB
84 %, 2117 MiB
85 %, 2117 MiB
84 %, 2117 MiB
84 %, 2117 MiB
87 %, 2117 MiB
85 %, 2117 MiB
86 %, 2117 MiB
86 %, 2117 MiB
86 %, 2117 MiB
85 %, 2117 MiB
86 %, 2117 MiB
86 %, 2117 MiB
85 %, 2117 MiB
86 %, 2117 MiB
87 %, 2117 MiB
83 %, 2117 MiB
84 %, 2117 MiB
