0, 0, 67.35, 345
0, 0, 67.38, 345
0, 0, 67.36, 345
0, 0, 67.36, 345
0, 0, 67.35, 345
0, 0, 67.35, 345
0, 0, 67.34, 345
0, 0, 67.34, 345
0, 0, 67.34, 345
0, 0, 67.33, 345
0, 0, 67.33, 345
0, 0, 67.32, 345
0, 0, 67.30, 345
0, 0, 67.30, 345
0, 0, 67.29, 345
0, 0, 67.27, 345
0, 0, 67.27, 345
0, 0, 67.28, 345
0, 0, 67.30, 345
0, 0, 67.33, 345
0, 0, 67.36, 345
0, 0, 67.38, 345
0, 0, 67.36, 345
0, 0, 67.37, 345
0, 0, 67.37, 345
0, 0, 67.35, 345
0, 0, 67.35, 345
0, 0, 67.34, 345
0, 0, 67.30, 345
0, 0, 67.33, 345
0, 0, 67.36, 345
0, 0, 67.36, 345
0, 0, 67.36, 345
0, 0, 67.35, 345
0, 0, 67.35, 345
0, 0, 67.35, 345
0, 0, 67.33, 345
0, 0, 67.31, 345
0, 0, 67.29, 345
0, 0, 67.28, 345
0, 0, 67.26, 345
0, 0, 67.26, 345
0, 0, 67.25, 345
0, 0, 67.25, 345
0, 0, 67.24, 345
0, 0, 67.24, 345
0, 0, 67.26, 345
0, 0, 67.28, 345
0, 0, 67.29, 345
0, 0, 67.32, 345
0, 0, 67.35, 345
0, 0, 67.36, 345
0, 0, 67.40, 345
0, 0, 67.42, 345
0, 0, 67.41, 345
0, 0, 67.42, 345
0, 0, 67.43, 345
0, 0, 67.41, 345
0, 0, 67.37, 345
0, 0, 67.39, 345
0, 0, 67.37, 345
0, 0, 67.35, 345
0, 0, 67.35, 345
0, 0, 67.32, 345
0, 0, 67.30, 345
0, 0, 67.28, 345
0, 0, 67.29, 345
0, 0, 67.29, 345
0, 0, 67.27, 345
0, 0, 67.29, 345
0, 0, 67.30, 345
0, 0, 67.32, 345
0, 0, 67.32, 345
0, 0, 67.30, 345
0, 0, 67.29, 345
0, 0, 67.29, 345
0, 0, 67.28, 345
0, 0, 67.24, 345
0, 0, 67.24, 345
0, 0, 67.25, 345
0, 0, 67.27, 345
0, 0, 67.29, 345
0, 0, 67.32, 345
0, 0, 67.34, 345
0, 0, 67.34, 345
0, 0, 67.37, 345
0, 0, 67.36, 345
0, 0, 67.35, 345
0, 0, 67.35, 345
0, 0, 67.33, 345
0, 0, 67.32, 345
0, 0, 67.28, 345
0, 0, 67.29, 345
0, 0, 67.27, 345
0, 0, 67.25, 345
0, 0, 67.26, 345
0, 0, 67.26, 345
0, 0, 67.24, 345
0, 0, 67.25, 345
0, 0, 67.26, 345
0, 0, 67.29, 345
0, 0, 67.31, 345
0, 0, 67.33, 345
0, 0, 67.36, 345
0, 0, 67.39, 345
0, 0, 67.42, 345
0, 0, 67.45, 345
0, 0, 67.45, 345
0, 0, 67.44, 345
0, 0, 67.43, 345
0, 0, 67.43, 345
0, 0, 67.41, 345
0, 0, 67.37, 345
0, 0, 67.37, 345
0, 0, 67.37, 345
0, 0, 67.36, 345
0, 0, 67.34, 345
0, 0, 67.33, 345
0, 0, 67.32, 345
0, 0, 67.32, 345
0, 0, 67.30, 345
0, 0, 67.29, 345
0, 0, 67.27, 345
0, 0, 67.27, 345
0, 0, 67.27, 345
0, 0, 67.25, 345
0, 0, 67.26, 345
0, 0, 67.23, 345
0, 0, 67.25, 345
0, 0, 67.25, 345
0, 0, 67.27, 345
0, 0, 67.28, 345
0, 0, 67.29, 345
0, 0, 67.32, 345
0, 0, 67.34, 345
0, 0, 67.36, 345
0, 0, 67.38, 345
0, 0, 67.38, 345
