0	0	0.0667	0.3333	0.1667	0.6875	0.373	0.4318	0.1136	0.8409	0.4324	0.0227	0.4983
0	1	0.2	0.5	0.1	0.6875	0.3662	0.3864	0.1591	0.8182	0.3889	0.0227	0.4713
0	2	0.0667	0.0769	0.1429	0.6875	0.3722	0.4773	0.0909	0.8182	0.4167	0.0227	0.508
1	0	0.1	1.0	1.0	0.6875	0.3781	0.3636	0.1591	0.8409	0.4595	0.0	0.4599
1	1	0.1	0.25	0.0667	0.6875	0.3464	0.4091	0.2045	0.75	0.4545	0.0227	0.4699
1	2	0.1429	0.5	0.0714	0.6875	0.3667	0.3864	0.1591	0.8182	0.3889	0.0	0.4782
2	0	0.0769	1.0	0.1667	0.6875	0.3592	0.3409	0.1364	0.7955	0.4	0.0	0.4607
2	1	0.0909	0.25	0.0909	0.6875	0.3807	0.4773	0.1136	0.8636	0.3158	0.0227	0.5243
2	2	0.0833	0.3333	0.0769	0.6875	0.3685	0.3409	0.1818	0.8182	0.4444	0.0	0.4467
3	0	1.0	0.0667	0.1	0.6875	0.3589	0.4773	0.1364	0.7955	0.4286	0.0455	0.5044
3	1	0.1111	0.0769	0.1	0.6875	0.3412	0.3409	0.25	0.7045	0.3548	0.0	0.438
3	2	0.2	0.2	0.1667	0.6875	0.3498	0.4091	0.1818	0.7727	0.4118	0.0227	0.4832
4	0	0.1111	0.0769	0.25	0.6875	0.3679	0.3636	0.1818	0.8182	0.4444	0.0	0.4534
4	1	1.0	0.2	0.0667	0.6875	0.3561	0.3636	0.1136	0.7955	0.4286	0.0455	0.4712
4	2	0.0625	0.1429	0.0667	0.6875	0.3719	0.4545	0.1364	0.8409	0.3514	0.0227	0.5034
5	0	0.1	0.0714	1.0	0.6875	0.37	0.3864	0.1591	0.8182	0.4444	0.0	0.4657
5	1	0.1111	0.0909	0.125	0.6875	0.3637	0.5	0.1591	0.7955	0.3714	0.0227	0.5155
5	2	0.1111	0.0667	0.125	0.6875	0.331	0.4545	0.1591	0.7045	0.3871	0.0682	0.5008
6	0	0.3333	0.1667	0.1	0.6875	0.3612	0.4091	0.1591	0.8182	0.4167	0.0227	0.4806
6	1	1.0	0.1667	0.0909	0.6875	0.3658	0.3409	0.1364	0.8182	0.4167	0.0	0.4477
6	2	0.125	0.1111	0.1429	0.6875	0.3826	0.3864	0.0909	0.8636	0.4474	0.0	0.4807
7	0	1.0	1.0	0.0909	0.6875	0.3775	0.4545	0.0909	0.8409	0.3784	0.0	0.5034
7	1	0.0909	0.25	0.25	0.6875	0.3756	0.4091	0.1136	0.8636	0.4474	0.0227	0.4861
7	2	0.0714	0.2	1.0	0.6875	0.3658	0.3864	0.1364	0.8182	0.3333	0.0682	0.4821
8	0	0.0714	0.125	0.25	0.6875	0.3605	0.4091	0.1818	0.7955	0.3714	0.0227	0.4839
8	1	0.125	0.5	0.2	0.6875	0.3688	0.4318	0.1364	0.8182	0.3611	0.0227	0.4875
8	2	0.25	0.1111	1.0	0.6875	0.3781	0.4318	0.1136	0.8409	0.4324	0.0	0.5016
9	0	0.0909	0.125	1.0	0.6875	0.3798	0.4091	0.1364	0.8409	0.3243	0.0	0.4805
9	1	1.0	1.0	0.1	0.6875	0.373	0.4318	0.1136	0.8182	0.2778	0.0227	0.5024
9	2	0.0909	0.1429	0.25	0.6875	0.3793	0.4773	0.0909	0.8409	0.4054	0.0227	0.511
10	0	0.1667	0.1111	0.25	0.6875	0.3773	0.3636	0.1364	0.8636	0.5	0.0	0.4529
10	1	0.1429	0.125	0.0909	0.6875	0.3595	0.3864	0.2045	0.7955	0.4	0.0	0.4611
10	2	0.1429	0.0667	0.0833	0.6875	0.3699	0.3864	0.1364	0.8182	0.3889	0.0455	0.4796
11	0	0.1	0.0667	0.0769	0.6875	0.3582	0.3409	0.1591	0.7727	0.3824	0.0227	0.4556
11	1	0.3333	0.1111	0.0667	0.6875	0.3455	0.3864	0.2045	0.75	0.4242	0.0455	0.4678
11	2	0.0909	0.0769	0.1429	0.6875	0.3352	0.4773	0.1818	0.7273	0.3438	0.0909	0.5077
12	0	0.125	0.0833	0.1667	0.6875	0.3604	0.3182	0.1818	0.7955	0.3429	0.0	0.4281
12	1	0.0714	0.0667	0.1429	0.6875	0.3536	0.4091	0.2045	0.7727	0.4412	0.0227	0.4517
12	2	1.0	0.0667	0.0909	0.6875	0.3561	0.3636	0.1364	0.7955	0.4	0.0227	0.4576
13	0	0.0769	0.1111	0.0909	0.6875	0.3822	0.4318	0.1136	0.8636	0.4211	0.0	0.4964
13	1	0.0769	0.0833	0.0833	0.6875	0.3624	0.4545	0.1364	0.8182	0.3611	0.0227	0.5126
13	2	0.0833	0.125	0.5	0.6875	0.3614	0.4318	0.1818	0.7955	0.4286	0.0	0.4896
14	0	0.0833	0.0833	0.1	0.6875	0.3764	0.4091	0.1364	0.8409	0.3784	0.0455	0.4886
14	1	0.0667	0.5	0.0769	0.6875	0.3892	0.3864	0.1136	0.8636	0.3684	0.0	0.4726
14	2	0.0769	0.1111	0.0625	0.6875	0.3743	0.4091	0.1591	0.8182	0.3889	0.0227	0.4757
15	0	0.0625	0.0625	0.1667	0.625	0.3753	0.425	0.125	0.85	0.4412	0.025	0.482
15	1	0.1	0.0625	0.0769	0.6875	0.3567	0.4318	0.1591	0.7727	0.4412	0.0	0.4952
15	2	0.5	0.0769	0.0714	0.6875	0.37	0.3636	0.1136	0.8182	0.4167	0.0227	0.4623
