utilization.gpu [%], memory.used [MiB]
0 %, 0 MiB
90 %, 10139 MiB
89 %, 10139 MiB
92 %, 10139 MiB
90 %, 10139 MiB
92 %, 10139 MiB
91 %, 10139 MiB
91 %, 10139 MiB
92 %, 10139 MiB
90 %, 10139 MiB
91 %, 10139 MiB
89 %, 10139 MiB
91 %, 10139 MiB
91 %, 10139 MiB
88 %, 10139 MiB
90 %, 10139 MiB
89 %, 10139 MiB
91 %, 10139 MiB
92 %, 10139 MiB
87 %, 10139 MiB
92 %, 10139 MiB
91 %, 10139 MiB
