2026-08-12T08:04:09Z,1, 37.14, 0, 45
2026-08-12T08:04:19Z,19723, 407.97, 100, 58
2026-08-12T08:04:29Z,19723, 410.66, 100, 62
2026-08-12T08:04:39Z,19723, 412.23, 100, 62
2026-08-12T08:04:49Z,19723, 412.62, 99, 63
2026-08-12T08:04:59Z,19723, 413.30, 99, 64
2026-08-12T08:05:09Z,19723, 418.01, 99, 63
2026-08-12T08:05:19Z,19723, 415.92, 99, 63
2026-08-12T08:05:29Z,19723, 413.27, 100, 64
2026-08-12T08:05:39Z,19723, 418.51, 100, 64
2026-08-12T08:05:49Z,19723, 419.02, 100, 63
2026-08-12T08:05:59Z,19723, 415.67, 100, 64
2026-08-12T08:06:09Z,19723, 415.50, 99, 64
2026-08-12T08:06:19Z,19723, 415.04, 99, 64
2026-08-12T08:06:29Z,19723, 415.51, 99, 63
2026-08-12T08:06:39Z,19723, 414.98, 99, 63
2026-08-12T08:06:49Z,19723, 415.83, 99, 63
2026-08-12T08:06:59Z,19723, 415.14, 99, 64
2026-08-12T08:07:09Z,19723, 419.78, 100, 63
2026-08-12T08:07:19Z,19723, 417.93, 100, 62
2026-08-12T08:07:30Z,19723, 418.00, 100, 63
2026-08-12T08:07:40Z,19723, 415.00, 100, 64
2026-08-12T08:07:50Z,19723, 415.33, 99, 63
2026-08-12T08:08:00Z,19723, 415.60, 99, 63
2026-08-12T08:08:10Z,19723, 414.85, 99, 64
2026-08-12T08:08:20Z,19723, 414.31, 99, 63
2026-08-12T08:08:30Z,19723, 415.74, 99, 63
2026-08-12T08:08:40Z,19723, 415.99, 99, 64
2026-08-12T08:08:50Z,19723, 418.42, 99, 63
2026-08-12T08:09:00Z,19723, 420.79, 99, 64
2026-08-12T08:09:10Z,19723, 420.69, 100, 61
2026-08-12T08:09:20Z,19723, 415.59, 100, 64
2026-08-12T08:09:30Z,19723, 415.45, 100, 64
2026-08-12T08:09:40Z,19723, 417.74, 100, 59
2026-08-12T08:09:50Z,19723, 415.10, 100, 64
2026-08-12T08:10:00Z,19723, 416.67, 99, 64
2026-08-12T08:10:10Z,19723, 415.82, 99, 63
2026-08-12T08:10:20Z,19723, 415.97, 99, 64
2026-08-12T08:10:30Z,19723, 416.22, 99, 63
2026-08-12T08:10:40Z,19723, 418.34, 99, 63
2026-08-12T08:10:50Z,19723, 414.60, 99, 62
2026-08-12T08:11:00Z,19723, 432.23, 98, 63
2026-08-12T08:11:10Z,19723, 420.78, 98, 63
2026-08-12T08:11:20Z,19723, 420.16, 100, 61
2026-08-12T08:11:30Z,19723, 417.48, 100, 63
2026-08-12T08:11:40Z,19723, 417.46, 99, 63
2026-08-12T08:11:51Z,19723, 416.13, 99, 63
2026-08-12T08:12:01Z,19723, 416.71, 99, 63
2026-08-12T08:12:11Z,19723, 416.52, 99, 63
2026-08-12T08:12:21Z,19723, 446.04, 99, 63
2026-08-12T08:12:31Z,19723, 416.89, 99, 63
2026-08-12T08:12:41Z,19723, 416.64, 98, 63
2026-08-12T08:12:51Z,19723, 420.68, 100, 61
2026-08-12T08:13:01Z,19723, 420.77, 100, 63
2026-08-12T08:13:11Z,19723, 417.15, 100, 64
2026-08-12T08:13:21Z,19723, 418.37, 99, 62
2026-08-12T08:13:31Z,19723, 416.80, 99, 63
2026-08-12T08:13:41Z,19723, 435.50, 99, 64
2026-08-12T08:13:51Z,19723, 418.19, 99, 63
2026-08-12T08:14:01Z,19723, 417.30, 99, 62
2026-08-12T08:14:11Z,19723, 420.38, 99, 62
2026-08-12T08:14:21Z,19723, 421.31, 100, 59
2026-08-12T08:14:31Z,19723, 414.54, 100, 63
2026-08-12T08:14:41Z,19723, 416.77, 100, 63
2026-08-12T08:14:51Z,19723, 416.30, 98, 63
2026-08-12T08:15:01Z,19723, 420.48, 99, 64
2026-08-12T08:15:11Z,19723, 415.47, 99, 64
2026-08-12T08:15:21Z,19723, 416.10, 99, 64
2026-08-12T08:15:31Z,19723, 416.60, 99, 63
2026-08-12T08:15:42Z,19723, 416.20, 99, 63
2026-08-12T08:15:52Z,19723, 417.13, 99, 63
2026-08-12T08:16:02Z,19723, 417.60, 99, 62
2026-08-12T08:16:12Z,19723, 415.98, 99, 64
2026-08-12T08:16:22Z,19723, 417.73, 98, 64
2026-08-12T08:16:32Z,19723, 420.92, 100, 59
2026-08-12T08:16:42Z,19723, 420.65, 100, 63
2026-08-12T08:16:52Z,19723, 416.73, 100, 64
2026-08-12T08:17:02Z,19723, 416.44, 100, 63
2026-08-12T08:17:12Z,19723, 416.96, 99, 62
2026-08-12T08:17:22Z,19723, 416.42, 99, 63
2026-08-12T08:17:32Z,19723, 416.56, 99, 64
2026-08-12T08:17:42Z,19723, 418.62, 99, 60
2026-08-12T08:17:52Z,19723, 391.41, 98, 62
2026-08-12T08:18:02Z,19723, 420.00, 100, 59
2026-08-12T08:18:12Z,19723, 418.27, 100, 63
