ts_unix,step_marker,vm_rss_kb,gpu_mem_used_mib,gpu_util_pct
1780006993,sample,3620,0  0
1780006998,sample,381856,0  0
1780007003,sample,381856,0  0
1780007008,sample,381856,0  0
1780007013,sample,381856,0  0
1780007018,sample,381856,0  0
1780007023,sample,381856,0  0
1780007028,sample,381856,0  0
1780007033,sample,381856,0  0
1780007038,sample,381856,0  0
1780007043,sample,381856,0  0
1780007048,sample,381856,0  0
1780007053,sample,381856,0  0
1780007058,sample,381856,0  0
1780007063,sample,381856,0  0
1780007068,sample,381856,0  0
1780007074,sample,381856,0  0
1780007079,sample,381856,0  0
1780007084,sample,381856,0  0
1780007089,sample,381856,0  0
1780007094,sample,381856,0  0
1780007099,sample,1295776,0  0
1780007104,sample,2096948,1045  7
1780007109,sample,2406964,1045  0
1780007114,sample,2957108,1199  8
1780007119,sample,3331636,1045  0
1780007124,sample,3659572,1045  0
1780007129,sample,4256308,1045  0
1780007134,sample,4564532,1045  0
1780007139,sample,5180980,1045  0
1780007144,sample,5489204,1045  0
1780007149,sample,6105652,1045  0
1780007154,sample,6413876,1045  0
1780007159,sample,7030324,1045  0
1780007164,sample,7338548,1045  0
1780007169,sample,7954996,1045  0
1780007174,sample,8263220,1045  0
1780007179,sample,8879668,1045  0
1780007184,sample,9187892,1045  0
1780007189,sample,9804340,1045  0
1780007194,sample,10112564,1045  0
1780007199,sample,10729012,1045  0
1780007204,sample,11037236,1045  0
1780007209,sample,11653684,1045  0
1780007215,sample,11961908,1045  0
1780007220,sample,12578356,1045  0
1780007225,sample,12888372,1045  0
1780007230,sample,13504820,1045  0
1780007235,sample,13813044,1045  0
1780007240,sample,14429492,1045  0
1780007245,sample,14737716,1045  0
1780007250,sample,15355956,1045  0
1780007255,sample,15664180,1045  0
1780007260,sample,16280628,1045  21
1780007265,sample,16588852,1045  0
1780007270,sample,17205300,1045  0
1780007275,sample,17513524,1045  0
1780007280,sample,18131764,1045  0
1780007285,sample,18439988,1045  0
1780007290,sample,19056436,1045  4
1780007295,sample,19364660,1045  0
1780007300,sample,19981108,1045  0
1780007305,sample,20291124,1045  0
1780007310,sample,20905780,1199  0
1780007315,sample,21215796,1045  0
1780007320,sample,21830452,1199  0
1780007325,sample,22140468,1045  0
1780007330,sample,22678068,1199  14
1780007335,sample,23065140,1045  0
1780007340,sample,23373364,1045  0
1780007345,sample,23989812,1045  0
1780007350,sample,24299828,1045  0
1780007356,sample,24916276,1045  0
1780007361,sample,25226292,1045  0
1780007366,sample,25842740,1045  0
1780007371,sample,26152756,1045  0
1780007376,sample,26769204,1045  26
1780007381,sample,27077428,1045  0
1780007386,sample,27693876,1045  0
1780007391,sample,28002100,1045  0
1780007396,sample,28541492,1199  0
1780007401,sample,28928564,1045  0
1780007406,sample,29236788,1121  0
1780007411,sample,29851444,1045  0
1780007416,sample,30159668,1045  0
1780007421,sample,30546740,1045  0
1780007426,sample,31086132,1045  0
1780007432,sample,31394356,1045  0
1780007437,sample,32010804,1045  0
1780007442,sample,32319028,1045  0
1780007447,sample,32627252,1045  0
1780007452,sample,33245492,1045  0
1780007457,sample,33553716,1045  0
1780007462,sample,34116404,1199  0
1780007467,sample,34478388,1045  0
1780007472,sample,34786612,1045  0
1780007477,sample,35403060,1199  0
1780007482,sample,35713076,1045  0
1780007487,sample,36146740,1045  0
1780007492,sample,36637748,1045  0
1780007497,sample,36945972,1045  0
1780007502,sample,37564212,1045  0
1780007507,sample,37872436,1045  0
1780007512,sample,38488884,1045  0
1780007517,sample,38798900,1045  0
1780007522,sample,39338292,1199  5
1780007527,sample,39723572,1045  0
1780007532,sample,40031796,1045  0
1780007537,sample,40648244,1045  0
1780007542,sample,40956468,1045  0
1780007547,sample,41574708,1045  0
1780007552,sample,41882932,1045  0
1780007557,sample,42495796,1199  0
1780007562,sample,42807604,1045  0
1780007567,sample,43269940,1121  7
1780007572,sample,43732276,1045  0
1780007577,sample,44040500,1045  0
1780007583,sample,44658740,1045  0
1780007588,sample,44966964,1045  0
1780007593,sample,45581620,1199  0
1780007598,sample,45891636,1045  0
1780007603,sample,46327092,1121  10
1780007608,sample,46816308,1045  0
1780007613,sample,47124532,1045  0
1780007618,sample,47742772,1045  0
1780007623,sample,48050996,1045  0
1780007628,sample,48665652,1199  0
1780007633,sample,48975668,1045  0
1780007638,sample,49283892,1045  0
1780007643,sample,49900340,1045  0
1780007648,sample,50208564,1045  0
1780007653,sample,50825012,1045  27
1780007658,sample,51133236,1045  0
1780007663,sample,51672628,1199  8
1780007668,sample,52057908,1045  0
1780007673,sample,52366132,1045  0
1780007678,sample,52982580,1045  0
1780007683,sample,53292596,1045  0
1780007688,sample,53909044,1045  0
1780007693,sample,54217268,1045  0
1780007698,sample,54756660,1199  3
1780007703,sample,55141940,1045  0
1780007708,sample,55451956,1045  0
1780007713,sample,56068404,1045  0
1780007719,sample,56376628,1045  0
1780007724,sample,56991284,1199  0
1780007729,sample,57301300,1045  0
1780007734,sample,57729588,1121  29
1780007739,sample,58227764,1045  0
1780007744,sample,58535988,1045  0
1780007749,sample,59152436,1045  27
1780007754,sample,59462452,1045  0
1780007759,sample,60000052,1199  0
1780007764,sample,60387124,1045  0
1780007769,sample,60695348,1045  0
1780007774,sample,61313588,1045  0
1780007779,sample,61621812,1045  0
1780007784,sample,62236468,1199  0
1780007789,sample,62546484,1045  0
1780007794,sample,62854708,1045  0
1780007799,sample,63471156,1045  0
1780007804,sample,63781172,1045  0
1780007809,sample,64395828,1275  0
1780007814,sample,64705844,1045  0
1780007819,sample,65014068,1045  0
1780007824,sample,65630516,1045  0
1780007829,sample,65938740,1045  0
1780007834,sample,66476340,1199  14
1780007839,sample,66863412,1045  0
1780007844,sample,67171636,1045  0
1780007849,sample,67788084,1045  0
1780007855,sample,68098100,1045  0
1780007860,sample,68406324,1045  0
1780007865,sample,69022772,1045  0
1780007870,sample,69330996,1045  0
1780007875,sample,69891892,1199  5
1780007880,sample,70257460,1045  0
1780007885,sample,70565684,1045  0
1780007890,sample,71182132,1045  0
1780007895,sample,71490356,1045  0
1780007900,sample,72029748,1199  28
1780007905,sample,72416820,1045  0
1780007910,sample,72725044,1045  0
1780007915,sample,73341492,1045  4
1780007920,sample,73649716,1045  0
1780007925,sample,73957940,1045  0
1780007930,sample,74576180,1045  0
1780007935,sample,74884404,1045  0
1780007940,sample,75463220,1199  0
1780007945,sample,75809076,1045  0
1780007950,sample,76117300,1045  0
1780007955,sample,76735540,1045  0
1780007960,sample,77043764,1045  0
1780007965,sample,77660212,1045  0
1780007970,sample,77970228,1045  0
1780007975,sample,78509620,1199  14
1780007980,sample,78894900,1045  0
1780007985,sample,79203124,1045  0
1780007990,sample,79819572,1045  0
1780007996,sample,80127796,1045  0
1780008001,sample,80667188,1199  0
1780008006,sample,81052468,1045  0
1780008011,sample,81362484,1045  0
1780008016,sample,81977140,1199  0
1780008021,sample,82287156,1045  0
1780008026,sample,82597172,1045  0
1780008031,sample,83211828,1045  0
1780008036,sample,83520052,1045  0
1780008041,sample,84136500,1045  8
1780008046,sample,84446516,1045  0
1780008051,sample,84831796,1045  0
1780008056,sample,85372980,1045  0
1780008061,sample,85681204,1045  0
1780008066,sample,86299444,1045  0
1780008071,sample,86607668,1045  0
1780008076,sample,87145268,1199  27
1780008081,sample,87532340,1045  0
1780008086,sample,87840564,1045  0
1780008091,sample,88457012,1045  0
1780008096,sample,88765236,1045  0
1780008101,sample,89304628,1199  13
1780008106,sample,89688116,1045  0
1780008111,sample,89996340,1045  0
1780008116,sample,90612788,1045  0
1780008121,sample,90921012,1045  0
1780008126,sample,91460404,1199  8
1780008131,sample,91847476,1045  0
1780008137,sample,92155700,1045  0
1780008142,sample,92773940,1045  30
1780008147,sample,93082164,1045  0
1780008152,sample,93390388,1045  0
1780008157,sample,94006836,1045  0
1780008162,sample,95793460,1045  30
1780008167,sample,99364916,1045  35
1780008172,sample,0,1045  0
