2026/08/12 03:26:28.781, 1723, 386
2026/08/12 03:26:30.784, 1723, 386
2026/08/12 03:26:32.785, 1723, 1550
2026/08/12 03:26:34.787, 1723, 17372
2026/08/12 03:26:36.789, 1723, 17372
2026/08/12 03:26:38.790, 1723, 19718
2026/08/12 03:26:40.791, 1723, 19718
2026/08/12 03:26:42.793, 1723, 19718
2026/08/12 03:26:44.794, 1723, 19718
2026/08/12 03:26:46.795, 1723, 19718
2026/08/12 03:26:48.797, 1723, 19718
2026/08/12 03:26:50.799, 1723, 19718
2026/08/12 03:26:52.800, 1723, 19718
2026/08/12 03:26:54.801, 1723, 19718
2026/08/12 03:26:56.802, 1723, 19718
2026/08/12 03:26:58.803, 1723, 19718
2026/08/12 03:27:00.805, 1723, 19718
2026/08/12 03:27:02.806, 1723, 19718
2026/08/12 03:27:04.808, 1723, 19718
2026/08/12 03:27:06.809, 1723, 19718
2026/08/12 03:27:08.810, 1723, 19718
2026/08/12 03:27:10.812, 1723, 19718
2026/08/12 03:27:12.813, 1723, 19718
2026/08/12 03:27:14.814, 1723, 19718
2026/08/12 03:27:16.816, 1723, 19718
2026/08/12 03:27:18.817, 1723, 19718
2026/08/12 03:27:20.818, 1723, 19718
2026/08/12 03:27:22.819, 1723, 19718
2026/08/12 03:27:24.821, 1723, 19718
2026/08/12 03:27:26.823, 1723, 19718
2026/08/12 03:27:28.824, 1723, 19718
2026/08/12 03:27:30.824, 1723, 19718
2026/08/12 03:27:32.826, 1723, 19718
2026/08/12 03:27:34.828, 1723, 19718
2026/08/12 03:27:36.829, 1723, 19718
2026/08/12 03:27:38.831, 1723, 19718
2026/08/12 03:27:40.833, 1723, 19718
2026/08/12 03:27:42.834, 1723, 19718
2026/08/12 03:27:44.835, 1723, 19718
2026/08/12 03:27:46.836, 1723, 19718
2026/08/12 03:27:48.838, 1723, 19718
2026/08/12 03:27:50.839, 1723, 19718
2026/08/12 03:27:52.844, 1723, 19718
2026/08/12 03:27:54.845, 1723, 19718
2026/08/12 03:27:56.847, 1723, 19718
2026/08/12 03:27:58.848, 1723, 19718
2026/08/12 03:28:00.849, 1723, 19718
2026/08/12 03:28:02.850, 1723, 19718
2026/08/12 03:28:04.851, 1723, 19718
2026/08/12 03:28:06.852, 1723, 19718
2026/08/12 03:28:08.854, 1723, 19718
2026/08/12 03:28:10.855, 1723, 19718
2026/08/12 03:28:12.856, 1723, 19718
2026/08/12 03:28:14.857, 1723, 19718
2026/08/12 03:28:16.859, 1723, 19718
2026/08/12 03:28:18.860, 1723, 19718
2026/08/12 03:28:20.862, 1723, 19718
2026/08/12 03:28:22.863, 1723, 19718
2026/08/12 03:28:24.864, 1723, 19718
2026/08/12 03:28:26.865, 1723, 19718
2026/08/12 03:28:28.867, 1723, 19718
2026/08/12 03:28:30.868, 1723, 19718
2026/08/12 03:28:32.869, 1723, 19718
2026/08/12 03:28:34.871, 1723, 19718
2026/08/12 03:28:36.872, 1723, 19718
2026/08/12 03:28:38.873, 1723, 19718
2026/08/12 03:28:40.874, 1723, 19718
2026/08/12 03:28:42.875, 1723, 19718
2026/08/12 03:28:44.877, 1723, 19718
2026/08/12 03:28:46.878, 1723, 19718
2026/08/12 03:28:48.879, 1723, 19718
2026/08/12 03:28:50.880, 1723, 19718
2026/08/12 03:28:52.882, 1723, 19718
2026/08/12 03:28:54.883, 1723, 19718
2026/08/12 03:28:56.884, 1723, 19718
2026/08/12 03:28:58.885, 1723, 19718
2026/08/12 03:29:00.886, 1723, 19718
2026/08/12 03:29:02.887, 1723, 19718
2026/08/12 03:29:04.889, 1723, 19718
2026/08/12 03:29:06.890, 1723, 19718
2026/08/12 03:29:08.892, 1723, 19718
2026/08/12 03:29:10.893, 1723, 19718
2026/08/12 03:29:12.894, 1723, 19718
2026/08/12 03:29:14.896, 1723, 19718
2026/08/12 03:29:16.897, 1723, 19718
2026/08/12 03:29:18.899, 1723, 19718
2026/08/12 03:29:20.900, 1723, 19718
2026/08/12 03:29:22.901, 1723, 19718
2026/08/12 03:29:24.903, 1723, 19718
2026/08/12 03:29:26.904, 1723, 19718
2026/08/12 03:29:28.906, 1723, 19718
2026/08/12 03:29:30.907, 1723, 19718
2026/08/12 03:29:32.907, 1723, 19718
2026/08/12 03:29:34.908, 1723, 19718
2026/08/12 03:29:36.910, 1723, 19718
2026/08/12 03:29:38.911, 1723, 19718
2026/08/12 03:29:40.912, 1723, 19718
2026/08/12 03:29:42.913, 1723, 19718
2026/08/12 03:29:44.915, 1723, 19718
2026/08/12 03:29:46.916, 1723, 19718
2026/08/12 03:29:48.918, 1723, 19718
2026/08/12 03:29:50.919, 1723, 19718
2026/08/12 03:29:52.920, 1723, 19718
2026/08/12 03:29:54.922, 1723, 19718
2026/08/12 03:29:56.923, 1723, 19718
2026/08/12 03:29:58.925, 1723, 19718
2026/08/12 03:30:00.926, 1723, 19718
2026/08/12 03:30:02.928, 1723, 19718
2026/08/12 03:30:04.930, 1723, 19718
2026/08/12 03:30:06.931, 1723, 19718
