0 %, 1187 MiB, 110.61 W
0 %, 1187 MiB, 110.60 W
0 %, 1187 MiB, 110.58 W
0 %, 1187 MiB, 110.57 W
0 %, 1187 MiB, 110.58 W
0 %, 1187 MiB, 110.60 W
0 %, 1187 MiB, 110.59 W
0 %, 1187 MiB, 110.61 W
0 %, 1187 MiB, 110.59 W
0 %, 1187 MiB, 110.56 W
0 %, 1187 MiB, 110.62 W
0 %, 1187 MiB, 110.66 W
0 %, 1187 MiB, 110.64 W
0 %, 1187 MiB, 110.60 W
0 %, 1187 MiB, 110.64 W
0 %, 1187 MiB, 110.66 W
0 %, 1187 MiB, 110.69 W
0 %, 1187 MiB, 110.64 W
0 %, 1187 MiB, 110.61 W
0 %, 1187 MiB, 110.62 W
0 %, 1187 MiB, 110.67 W
0 %, 1191 MiB, 110.71 W
0 %, 1187 MiB, 110.79 W
0 %, 1187 MiB, 110.82 W
0 %, 1187 MiB, 110.73 W
0 %, 1187 MiB, 110.72 W
0 %, 1187 MiB, 110.77 W
0 %, 1187 MiB, 110.79 W
0 %, 1187 MiB, 110.77 W
0 %, 1187 MiB, 110.75 W
0 %, 1187 MiB, 110.78 W
0 %, 1187 MiB, 110.74 W
0 %, 1187 MiB, 110.73 W
0 %, 1187 MiB, 110.75 W
0 %, 1187 MiB, 110.76 W
0 %, 1187 MiB, 110.78 W
0 %, 1187 MiB, 110.81 W
0 %, 1187 MiB, 110.86 W
0 %, 1187 MiB, 110.81 W
0 %, 1187 MiB, 110.77 W
0 %, 1187 MiB, 110.79 W
0 %, 1187 MiB, 110.76 W
0 %, 1187 MiB, 110.74 W
0 %, 1187 MiB, 110.77 W
0 %, 1187 MiB, 110.80 W
0 %, 1187 MiB, 110.78 W
0 %, 1187 MiB, 110.76 W
0 %, 1187 MiB, 110.80 W
0 %, 1187 MiB, 110.83 W
0 %, 1187 MiB, 110.81 W
0 %, 1187 MiB, 110.83 W
0 %, 1187 MiB, 110.89 W
0 %, 1187 MiB, 110.78 W
0 %, 1187 MiB, 110.70 W
0 %, 1187 MiB, 110.74 W
0 %, 1187 MiB, 110.97 W
0 %, 1187 MiB, 112.93 W
0 %, 1187 MiB, 114.74 W
0 %, 1187 MiB, 114.83 W
0 %, 1187 MiB, 114.83 W
0 %, 1187 MiB, 114.87 W
0 %, 1187 MiB, 114.86 W
0 %, 1187 MiB, 114.83 W
0 %, 1187 MiB, 114.84 W
0 %, 1187 MiB, 114.86 W
0 %, 1187 MiB, 114.86 W
0 %, 1187 MiB, 114.83 W
0 %, 1187 MiB, 114.82 W
0 %, 1187 MiB, 114.83 W
0 %, 1187 MiB, 114.76 W
