/workspace/anima/train_carving_dirJ.py:296: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=use_amp)
{"step": 4400, "ce_masked": 1.542676, "l_denoise": 1.88097, "l_psi_ctl": 0.004418, "l_tension_route": 0.001375, "loss": 1.883866, "mask_rate_mean": 0.5028, "gn2": 10.918424, "lr": 0.00015391, "wall_s": 536.98, "gpu_mem_gb": 9.68}
{"step": 4600, "ce_masked": 1.084733, "l_denoise": 1.388296, "l_psi_ctl": 0.009128, "l_tension_route": 5.8e-05, "loss": 1.392889, "mask_rate_mean": 0.5109, "gn2": 14.878107, "lr": 0.00014283, "wall_s": 561.28, "gpu_mem_gb": 9.68}
{"step": 4800, "ce_masked": 1.141426, "l_denoise": 1.356236, "l_psi_ctl": 0.016136, "l_tension_route": 0.000231, "loss": 1.36442, "mask_rate_mean": 0.573, "gn2": 21.163083, "lr": 0.00013191, "wall_s": 585.59, "gpu_mem_gb": 9.68}
{"step": 5000, "ce_masked": 0.483817, "l_denoise": 0.752977, "l_psi_ctl": 0.019602, "l_tension_route": 0.001161, "loss": 0.763358, "mask_rate_mean": 0.4596, "gn2": 4.74286, "lr": 0.00012122, "wall_s": 609.96, "gpu_mem_gb": 9.68}
{"step": 5200, "ce_masked": 1.128784, "l_denoise": 1.342976, "l_psi_ctl": 0.01374, "l_tension_route": 0.000929, "loss": 1.350311, "mask_rate_mean": 0.5167, "gn2": 9.793231, "lr": 0.00011082, "wall_s": 634.32, "gpu_mem_gb": 9.68}
{"step": 5400, "ce_masked": 0.806103, "l_denoise": 1.068483, "l_psi_ctl": 0.006529, "l_tension_route": 1.5e-05, "loss": 1.071755, "mask_rate_mean": 0.4696, "gn2": 11.991575, "lr": 0.0001008, "wall_s": 658.75, "gpu_mem_gb": 9.68}
{"step": 5600, "ce_masked": 1.082862, "l_denoise": 1.327147, "l_psi_ctl": 0.020152, "l_tension_route": 0.000586, "loss": 1.337516, "mask_rate_mean": 0.4961, "gn2": 11.114959, "lr": 9.121e-05, "wall_s": 683.26, "gpu_mem_gb": 9.68}
{"step": 5800, "ce_masked": 1.159935, "l_denoise": 1.39511, "l_psi_ctl": 0.010229, "l_tension_route": 0.000306, "loss": 1.400377, "mask_rate_mean": 0.5392, "gn2": 6.0481, "lr": 8.213e-05, "wall_s": 707.83, "gpu_mem_gb": 9.68}
{"step": 6000, "ce_masked": 1.181062, "l_denoise": 1.411595, "l_psi_ctl": 0.005923, "l_tension_route": 7e-06, "loss": 1.41456, "mask_rate_mean": 0.5553, "gn2": 9.624935, "lr": 7.361e-05, "wall_s": 732.19, "gpu_mem_gb": 9.68}
{"step": 6200, "ce_masked": 1.384382, "l_denoise": 1.554999, "l_psi_ctl": 0.014621, "l_tension_route": 0.001866, "loss": 1.563243, "mask_rate_mean": 0.5459, "gn2": 14.691088, "lr": 6.572e-05, "wall_s": 756.69, "gpu_mem_gb": 9.68}
