H_649 — collective-register-collapse-phi (H_633 collective 일반화 · raw#12)
  substrate: M={2,3} Kuramoto streams · NP=8/stream · coh_c = global order param
  Φ_c: RFC 036 phi_spatial via HEXAD/C/c_lib.hexa (byte-equal phi_rs replica)
  collective coh-collapse threshold (COFFESHOP register-hit lifted): coh_c < 0.10

  ensemble (coh_c, Φ_c) pairs (n=144):
    [109] coh_c=0.771664  Φ_c=17.8927       
    [110] coh_c=0.373527  Φ_c=13.8321       
    [111] coh_c=0.189561  Φ_c=14.5768       
    [112] coh_c=0.164327  Φ_c=18.6171       
    [113] coh_c=0.184407  Φ_c=20.0996       
    [114] coh_c=0.0275743  Φ_c=13.3477 [LO] 
    [115] coh_c=0.0642545  Φ_c=14.107 [LO] 
    [116] coh_c=0.988382  Φ_c=17.088       
    [117] coh_c=0.982292  Φ_c=15.043       
    [118] coh_c=0.519972  Φ_c=13.8903       
    [119] coh_c=0.348882  Φ_c=13.5551       
    [120] coh_c=0.884967  Φ_c=16.2201       
    [121] coh_c=0.85474  Φ_c=17.0697       
    [122] coh_c=0.0505797  Φ_c=14.3018 [LO] 
    [123] coh_c=0.0655705  Φ_c=13.9048 [LO] 
    [124] coh_c=0.992984  Φ_c=18.5275       
    [125] coh_c=0.992978  Φ_c=17.983       
    [126] coh_c=0.787549  Φ_c=14.4159       
    [127] coh_c=0.478104  Φ_c=15.6126       
    [128] coh_c=0.987505  Φ_c=13.7938       
    [129] coh_c=0.989439  Φ_c=15.8404       
    [130] coh_c=0.171469  Φ_c=14.6856       
    [131] coh_c=0.209387  Φ_c=15.3326       
    [132] coh_c=0.995758  Φ_c=13.8997       
    [133] coh_c=0.995758  Φ_c=14.675       
    [134] coh_c=0.91127  Φ_c=16.04       
    [135] coh_c=0.910921  Φ_c=13.6214       
    [136] coh_c=0.995085  Φ_c=15.0377       
    [137] coh_c=0.995084  Φ_c=12.6283       
    [138] coh_c=0.886306  Φ_c=15.0184       
    [139] coh_c=0.889598  Φ_c=13.4893       
    [140] coh_c=0.997466  Φ_c=23.5       
    [141] coh_c=0.997466  Φ_c=24       
    [142] coh_c=0.953616  Φ_c=21.4577       
    [143] coh_c=0.953616  Φ_c=16.5173       

  n total pairs        : 144
  n coh_c<0.10 (LO)    : 39
  n coh_c>=0.10 (HI)   : 105
  mean coh_c           : 0.457405
  mean Φ_c             : 13.437
  Φ_c envelope [min,max] : [7.68377, 24]
  ----
  Pearson r(coh_c, Φ_c) : 0.0490792
  mean Φ_c | coh_c<0.10 : 13.174
  max  Φ_c | coh_c<0.10 : 19.9903
  mean Φ_c | coh_c>=0.10: 13.5348
  ratio (lo / hi mean)  : 0.973343
  min-coh member        : coh_c=0.0122812  Φ_c=15.0696
  max-coh member        : coh_c=0.997466  Φ_c=23.5
  ----
  C1 |r| > 0.5            : FAIL  (r=0.0490792)
  C2 cliff (lo/hi < 0.20) : FAIL  (ratio=0.973343)
  F-NOCORR |r| < 0.3      : true
  F-SUSTAIN Φlo >= Φhi    : false
  (no coh_c<0.10 members?): false

  VERDICT_RULE: cliff-SUPPORTED iff (|r|>0.5 ∧ lo/hi<0.20); cliff-FALSIFIED iff (|r|<0.3 ∨ Φlo>=Φhi)
  VERDICT (cliff falsifier frame): FALSIFIED
=== H_649 collective-register-collapse-phi complete: FALSIFIED ===
