level_idx,mesh_size_m,n_nodes,n_elements,t_max_k,delta_t_k,delta_t_k_step,wall_s
0,0.0015,2014,5748,314.7170407151375,21.567040715137523,,0.37251901626586914
1,0.001,4211,12394,314.71704071451524,21.567040714515258,-6.222649062692653e-10,0.3703889846801758
2,0.0007,8492,24807,314.71704071674145,21.567040716741474,2.226215656264685e-09,0.6894030570983887
3,0.0005,20510,74587,314.71704071506963,21.567040715069652,-1.6718217921152245e-09,2.1615920066833496
