51.12, 0, 1
51.18, 0, 1
59.09, 0, 435
57.03, 0, 437
57.03, 0, 441
56.78, 0, 437
56.78, 0, 441
57.03, 0, 437
57.03, 0, 437
57.03, 0, 437
57.03, 1, 437
57.03, 0, 439
57.03, 1, 437
57.03, 0, 441
57.03, 0, 437
57.03, 1, 437
57.03, 0, 437
57.03, 1, 437
57.03, 0, 439
57.03, 1, 437
57.03, 1, 441
57.03, 0, 437
57.03, 1, 441
57.03, 0, 437
57.03, 1, 437
57.03, 0, 439
57.03, 1, 437
57.03, 0, 441
57.03, 1, 437
57.03, 0, 437
57.03, 0, 437
57.03, 1, 437
57.03, 0, 441
57.03, 1, 437
57.03, 1, 437
57.03, 0, 437
57.03, 1, 437
57.03, 1, 441
57.03, 0, 437
57.03, 0, 437
57.03, 0, 437
57.03, 1, 437
57.03, 0, 441
57.03, 1, 437
57.03, 0, 441
57.03, 0, 437
57.03, 1, 437
57.03, 0, 443
57.03, 0, 437
57.03, 1, 437
57.03, 0, 439
57.03, 0, 437
57.03, 1, 441
57.31, 0, 437
57.03, 0, 441
57.03, 0, 437
57.03, 0, 441
57.03, 0, 437
57.03, 1, 437
57.03, 0, 441
57.03, 0, 437
57.03, 0, 441
57.03, 0, 437
57.03, 1, 437
57.03, 1, 437
57.03, 1, 437
57.03, 0, 441
57.03, 1, 437
57.03, 1, 441
56.78, 0, 437
56.78, 1, 437
56.78, 0, 437
57.03, 0, 437
56.78, 0, 441
57.03, 0, 439
56.78, 1, 439
57.03, 2, 439
57.03, 2, 439
57.03, 1, 439
57.03, 2, 439
56.78, 2, 439
56.78, 2, 439
56.78, 1, 439
57.03, 2, 439
57.03, 1, 439
56.78, 2, 439
56.78, 2, 439
57.03, 2, 439
57.03, 2, 439
57.03, 2, 439
57.03, 1, 439
56.78, 1, 439
56.78, 1, 439
57.03, 2, 439
56.78, 1, 439
56.78, 2, 439
56.78, 2, 435
57.03, 2, 435
57.03, 0, 435
57.03, 1, 435
57.03, 1, 435
57.03, 2, 435
57.03, 2, 435
57.03, 1, 439
56.78, 2, 439
57.03, 1, 439
57.03, 2, 439
57.03, 1, 439
57.03, 2, 439
57.03, 2, 439
57.03, 2, 439
57.03, 2, 439
57.03, 2, 439
57.03, 1, 439
57.03, 2, 439
57.03, 2, 439
57.03, 2, 439
57.03, 1, 439
57.03, 2, 439
57.03, 2, 439
57.03, 2, 439
56.78, 1, 439
57.03, 1, 439
57.03, 2, 443
57.03, 1, 435
57.03, 1, 435
57.03, 1, 435
57.03, 1, 435
57.03, 2, 435
57.03, 2, 435
57.03, 2, 435
57.03, 1, 439
57.03, 1, 439
57.03, 1, 439
57.03, 1, 439
57.03, 1, 439
57.03, 1, 439
57.03, 2, 439
57.03, 2, 439
57.03, 2, 439
57.03, 2, 439
57.03, 2, 439
57.03, 1, 439
57.03, 2, 439
57.03, 2, 439
57.03, 2, 439
57.03, 2, 439
57.03, 2, 439
57.03, 1, 439
57.03, 2, 439
57.03, 2, 439
57.03, 1, 439
57.03, 2, 439
57.03, 1, 435
57.03, 2, 435
57.03, 2, 435
57.03, 0, 435
57.03, 2, 435
57.03, 2, 435
57.03, 2, 435
57.03, 2, 439
57.03, 2, 439
57.03, 2, 439
57.03, 2, 439
57.03, 2, 439
57.03, 2, 439
57.03, 2, 439
57.03, 2, 439
57.03, 2, 443
57.03, 2, 439
57.03, 2, 439
57.03, 2, 439
57.03, 2, 439
57.03, 1, 439
57.03, 2, 439
57.03, 2, 439
57.03, 1, 439
57.03, 2, 439
57.03, 1, 439
57.03, 2, 439
57.03, 2, 439
57.03, 2, 435
57.03, 2, 435
57.03, 2, 435
