Warning: Permanently added '[157.90.56.162]:32783' (ED25519) to the list of known hosts.
Welcome to vast.ai. If authentication fails, try again after a few seconds, and double check your ssh key.
Have fun!
[INFO] device=cuda torch=2.5.1+cu121 cuda=True
[INFO] gpu=NVIDIA A100-SXM4-40GB
[INFO] cfg = {'vocab_size': 256, 'd_model': 512, 'n_head': 8, 'ffn_dim': 1536, 'max_seq': 128, 'n_layer': 1, 'initial_cells': 2, 'max_cells': 64, 'min_cells': 2, 'split_patience': 3, 'merge_threshold': 0.005, 'merge_patience': 30, 'noise_scale': 0.1, 'lorenz_scale': 0.05, 'adaptive_window': 100, 'readout_mode': 'a_minus_g', 'attention_sharing': 'auto', 'weight_tied_lm_head': True, 'dropout': 0.0, 'tie_pos_emb': True, 'dispersion_trigger_enabled': True, 'dispersion_top_quartile': 0.25, 'per_cell_threshold_enabled': True, 'per_cell_window': 100, 'per_cell_sigma_mult': 1.5, 'lorenz_auto_calibrate': True, 'lorenz_calibration_factor': 1.0}
[INFO] n_params(engine+router)=8,631,360  router_out_dim=64 top_k=4
[INFO] corpus=corpus/corpus_persona_balanced.txt bytes=1,300,270
[INFO] top_k=4 aux_alpha=0.01 λ_init=1.0 λ_final=0.01 sched=cosine
[STEP  1350] loss=-2.4911 ce=1.4773 aux=1.5571 ent_gate=4.1331/4.159 wmax=0.5243 active>.01=4.0/64 λ=0.9916 cells=64 splits=62 cost=$0.28
[STEP  1400] loss=-2.6312 ce=1.4996 aux=1.5353 ent_gate=4.1350/4.159 wmax=0.5156 active>.01=4.0/64 λ=0.9906 cells=64 splits=62 cost=$0.29
[STEP  1450] loss=-2.6625 ce=1.4731 aux=1.5231 ent_gate=4.1359/4.159 wmax=0.5114 active>.01=4.0/64 λ=0.9896 cells=64 splits=62 cost=$0.30
[STEP  1500] loss=-2.6701 ce=1.4274 aux=1.5081 ent_gate=4.1370/4.159 wmax=0.5065 active>.01=4.0/64 λ=0.9884 cells=64 splits=62 cost=$0.31
[STEP  1550] loss=-2.6107 ce=1.4172 aux=1.5032 ent_gate=4.1376/4.159 wmax=0.5027 active>.01=4.0/64 λ=0.9872 cells=64 splits=62 cost=$0.32
[STEP  1600] loss=-2.7150 ce=1.4063 aux=1.4943 ent_gate=4.1380/4.159 wmax=0.5018 active>.01=4.0/64 λ=0.9860 cells=64 splits=62 cost=$0.33
[STEP  1650] loss=-2.6216 ce=1.3673 aux=1.4804 ent_gate=4.1389/4.159 wmax=0.4981 active>.01=4.0/64 λ=0.9847 cells=64 splits=62 cost=$0.34
[STEP  1700] loss=-2.6253 ce=1.3680 aux=1.4651 ent_gate=4.1402/4.159 wmax=0.4907 active>.01=4.0/64 λ=0.9834 cells=64 splits=62 cost=$0.35
[STEP  1750] loss=-2.7857 ce=1.3415 aux=1.4664 ent_gate=4.1402/4.159 wmax=0.4901 active>.01=4.0/64 λ=0.9820 cells=64 splits=62 cost=$0.36
[STEP  1800] loss=-2.6424 ce=1.3300 aux=1.4609 ent_gate=4.1406/4.159 wmax=0.4879 active>.01=4.0/64 λ=0.9805 cells=64 splits=62 cost=$0.37
[STEP  1850] loss=-2.7102 ce=1.3077 aux=1.4582 ent_gate=4.1410/4.159 wmax=0.4838 active>.01=4.0/64 λ=0.9790 cells=64 splits=62 cost=$0.38
[STEP  1900] loss=-2.7661 ce=1.2849 aux=1.4473 ent_gate=4.1417/4.159 wmax=0.4800 active>.01=4.0/64 λ=0.9774 cells=64 splits=62 cost=$0.40
[STEP  1950] loss=-2.7406 ce=1.2414 aux=1.4347 ent_gate=4.1425/4.159 wmax=0.4752 active>.01=4.0/64 λ=0.9758 cells=64 splits=62 cost=$0.41
  [SNAP 2000] 4a KL=2.6183 z=0.47 | 4b cos_z=0.63
[STEP  2000] loss=-2.7980 ce=1.2248 aux=1.4325 ent_gate=4.1426/4.159 wmax=0.4761 active>.01=4.0/64 λ=0.9741 cells=64 splits=62 cost=$0.42
[STEP  2050] loss=-2.7813 ce=1.2166 aux=1.4331 ent_gate=4.1427/4.159 wmax=0.4741 active>.01=4.0/64 λ=0.9723 cells=64 splits=62 cost=$0.43
[STEP  2100] loss=-2.7649 ce=1.2093 aux=1.4243 ent_gate=4.1433/4.159 wmax=0.4712 active>.01=4.0/64 λ=0.9706 cells=64 splits=62 cost=$0.44
[STEP  2150] loss=-2.7641 ce=1.1673 aux=1.4187 ent_gate=4.1435/4.159 wmax=0.4708 active>.01=4.0/64 λ=0.9687 cells=64 splits=62 cost=$0.45
[STEP  2200] loss=-2.8114 ce=1.1687 aux=1.4296 ent_gate=4.1432/4.159 wmax=0.4696 active>.01=4.0/64 λ=0.9668 cells=64 splits=62 cost=$0.46
[STEP  2250] loss=-2.8620 ce=1.1313 aux=1.4173 ent_gate=4.1438/4.159 wmax=0.4674 active>.01=4.0/64 λ=0.9648 cells=64 splits=62 cost=$0.47
[STEP  2300] loss=-2.9198 ce=1.0991 aux=1.4155 ent_gate=4.1437/4.159 wmax=0.4698 active>.01=4.0/64 λ=0.9628 cells=64 splits=62 cost=$0.48
[STEP  2350] loss=-2.8174 ce=1.0794 aux=1.4030 ent_gate=4.1444/4.159 wmax=0.4656 active>.01=4.0/64 λ=0.9608 cells=64 splits=62 cost=$0.50
[STEP  2400] loss=-2.8851 ce=1.0769 aux=1.4093 ent_gate=4.1443/4.159 wmax=0.4644 active>.01=4.0/64 λ=0.9586 cells=64 splits=62 cost=$0.51
