utilization.gpu [%], memory.used [MiB]
0 %, 0 MiB
90 %, 10123 MiB
88 %, 10123 MiB
90 %, 10123 MiB
92 %, 10123 MiB
88 %, 10123 MiB
91 %, 10123 MiB
90 %, 10123 MiB
91 %, 10123 MiB
90 %, 10123 MiB
90 %, 10123 MiB
86 %, 10123 MiB
88 %, 10123 MiB
90 %, 10123 MiB
91 %, 10123 MiB
90 %, 10123 MiB
88 %, 10123 MiB
87 %, 10123 MiB
88 %, 10123 MiB
91 %, 10123 MiB
93 %, 10123 MiB
90 %, 10123 MiB
