timestamp, utilization.gpu [%], memory.used [MiB]
2026/05/28 08:16:29.505, 0 %, 595 MiB
2026/05/28 08:16:34.506, 0 %, 595 MiB
2026/05/28 08:16:39.507, 0 %, 595 MiB
2026/05/28 08:16:44.507, 0 %, 673 MiB
2026/05/28 08:16:49.508, 0 %, 595 MiB
2026/05/28 08:16:54.509, 0 %, 595 MiB
2026/05/28 08:16:59.510, 0 %, 595 MiB
2026/05/28 08:17:04.511, 0 %, 597 MiB
2026/05/28 08:17:09.512, 0 %, 597 MiB
2026/05/28 08:17:14.513, 0 %, 597 MiB
2026/05/28 08:17:19.514, 0 %, 597 MiB
2026/05/28 08:17:24.514, 0 %, 597 MiB
2026/05/28 08:17:29.516, 0 %, 673 MiB
2026/05/28 08:17:34.516, 0 %, 673 MiB
2026/05/28 08:17:39.517, 0 %, 597 MiB
2026/05/28 08:17:44.518, 0 %, 597 MiB
2026/05/28 08:17:49.519, 0 %, 597 MiB
2026/05/28 08:17:54.520, 0 %, 597 MiB
2026/05/28 08:17:59.521, 0 %, 597 MiB
2026/05/28 08:18:04.522, 0 %, 597 MiB
2026/05/28 08:18:09.523, 0 %, 597 MiB
2026/05/28 08:18:14.523, 0 %, 597 MiB
2026/05/28 08:18:19.524, 0 %, 597 MiB
2026/05/28 08:18:24.525, 3 %, 673 MiB
2026/05/28 08:18:29.526, 0 %, 597 MiB
2026/05/28 08:18:34.527, 0 %, 597 MiB
2026/05/28 08:18:39.528, 0 %, 597 MiB
2026/05/28 08:18:44.529, 0 %, 597 MiB
2026/05/28 08:18:49.529, 0 %, 597 MiB
2026/05/28 08:18:54.531, 0 %, 597 MiB
2026/05/28 08:18:59.531, 0 %, 597 MiB
2026/05/28 08:19:04.533, 0 %, 597 MiB
2026/05/28 08:19:09.534, 0 %, 597 MiB
2026/05/28 08:19:14.534, 0 %, 597 MiB
2026/05/28 08:19:19.535, 3 %, 673 MiB
2026/05/28 08:19:24.536, 0 %, 597 MiB
