/workspace/anima/train_carving_dirE.py:157: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=use_amp)
{"step": 4000, "ce_stage2": 0.011192, "ce_full": 0.426345, "loss": 0.011192, "gn2": 0.012938, "lr": 5.852e-05, "wall_s": 1079.21, "gpu_mem_gb": 9.704}
{"step": 4125, "ce_stage2": 0.009462, "ce_full": 0.47876, "loss": 0.009462, "gn2": 0.046076, "lr": 5.203e-05, "wall_s": 1113.01, "gpu_mem_gb": 9.704}
{"step": 4250, "ce_stage2": 0.004131, "ce_full": 0.437146, "loss": 0.004131, "gn2": 0.003909, "lr": 4.631e-05, "wall_s": 1146.86, "gpu_mem_gb": 9.704}
{"step": 4375, "ce_stage2": 0.007025, "ce_full": 0.449379, "loss": 0.007025, "gn2": 0.01007, "lr": 4.141e-05, "wall_s": 1180.58, "gpu_mem_gb": 9.704}
{"step": 4500, "ce_stage2": 0.004608, "ce_full": 0.546631, "loss": 0.004608, "gn2": 0.014195, "lr": 3.734e-05, "wall_s": 1214.24, "gpu_mem_gb": 9.704}
{"step": 4625, "ce_stage2": 0.002489, "ce_full": 0.464294, "loss": 0.002489, "gn2": 0.002449, "lr": 3.415e-05, "wall_s": 1247.93, "gpu_mem_gb": 9.704}
{"step": 4750, "ce_stage2": 0.000694, "ce_full": 0.60797, "loss": 0.000694, "gn2": 0.000329, "lr": 3.186e-05, "wall_s": 1281.65, "gpu_mem_gb": 9.704}
{"step": 4875, "ce_stage2": 0.004574, "ce_full": 0.434961, "loss": 0.004574, "gn2": 0.010106, "lr": 3.047e-05, "wall_s": 1315.32, "gpu_mem_gb": 9.704}
{"step": 5000, "ce_stage2": 0.001578, "ce_full": 0.521994, "loss": 0.001578, "gn2": 0.007785, "lr": 3e-05, "wall_s": 1349.01, "gpu_mem_gb": 9.704}
RESULT_JSON_WRITTEN
{"path": "dirE_two_stage", "init_ce": 5.655191, "final_ce": 0.001578, "ce_descent": 5.653613, "wall_s": 1349.01}
