timestamp, utilization.gpu [%], memory.used [MiB]
2026/05/28 10:34:17.774, 0 %, 597 MiB
2026/05/28 10:34:27.775, 0 %, 597 MiB
2026/05/28 10:34:37.775, 0 %, 597 MiB
2026/05/28 10:34:47.775, 0 %, 895 MiB
2026/05/28 10:34:57.775, 0 %, 597 MiB
2026/05/28 10:35:07.776, 0 %, 895 MiB
2026/05/28 10:35:17.776, 0 %, 597 MiB
2026/05/28 10:35:27.776, 11 %, 597 MiB
2026/05/28 10:35:37.776, 0 %, 597 MiB
2026/05/28 10:35:47.777, 0 %, 597 MiB
2026/05/28 10:35:57.777, 0 %, 597 MiB
2026/05/28 10:36:07.777, 0 %, 597 MiB
2026/05/28 10:36:17.777, 0 %, 597 MiB
2026/05/28 10:36:27.777, 0 %, 597 MiB
2026/05/28 10:36:37.778, 0 %, 597 MiB
2026/05/28 10:36:47.778, 0 %, 597 MiB
2026/05/28 10:36:57.778, 0 %, 597 MiB
2026/05/28 10:37:07.779, 0 %, 597 MiB
2026/05/28 10:37:17.779, 7 %, 597 MiB
2026/05/28 10:37:27.779, 0 %, 597 MiB
2026/05/28 10:37:37.779, 0 %, 897 MiB
2026/05/28 10:37:47.780, 0 %, 597 MiB
2026/05/28 10:37:57.780, 0 %, 897 MiB
2026/05/28 10:38:07.780, 0 %, 597 MiB
2026/05/28 10:38:17.780, 0 %, 897 MiB
2026/05/28 10:38:27.781, 0 %, 597 MiB
2026/05/28 10:38:37.781, 0 %, 597 MiB
2026/05/28 10:38:47.781, 0 %, 597 MiB
2026/05/28 10:38:57.781, 0 %, 597 MiB
2026/05/28 10:39:07.782, 0 %, 597 MiB
2026/05/28 10:39:17.782, 0 %, 597 MiB
2026/05/28 10:39:27.782, 0 %, 597 MiB
2026/05/28 10:39:37.782, 0 %, 597 MiB
2026/05/28 10:39:47.783, 0 %, 597 MiB
2026/05/28 10:39:57.783, 0 %, 597 MiB
2026/05/28 10:40:07.783, 0 %, 597 MiB
2026/05/28 10:40:17.784, 0 %, 597 MiB
2026/05/28 10:40:27.784, 0 %, 895 MiB
2026/05/28 10:40:37.784, 0 %, 597 MiB
2026/05/28 10:40:47.784, 0 %, 597 MiB
2026/05/28 10:40:57.784, 0 %, 597 MiB
2026/05/28 10:41:07.785, 0 %, 897 MiB
2026/05/28 10:41:17.785, 0 %, 597 MiB
2026/05/28 10:41:27.785, 0 %, 897 MiB
2026/05/28 10:41:37.785, 0 %, 597 MiB
2026/05/28 10:41:47.786, 0 %, 597 MiB
2026/05/28 10:41:57.786, 0 %, 597 MiB
2026/05/28 10:42:07.786, 0 %, 597 MiB
2026/05/28 10:42:17.788, 0 %, 597 MiB
2026/05/28 10:42:27.788, 0 %, 597 MiB
2026/05/28 10:42:37.788, 0 %, 597 MiB
2026/05/28 10:42:47.788, 0 %, 597 MiB
2026/05/28 10:42:57.788, 0 %, 597 MiB
2026/05/28 10:43:07.789, 0 %, 597 MiB
2026/05/28 10:43:17.789, 0 %, 597 MiB
2026/05/28 10:43:27.789, 0 %, 597 MiB
2026/05/28 10:43:37.789, 0 %, 597 MiB
2026/05/28 10:43:47.789, 0 %, 597 MiB
2026/05/28 10:43:57.790, 0 %, 597 MiB
2026/05/28 10:44:07.790, 0 %, 597 MiB
2026/05/28 10:44:17.790, 0 %, 897 MiB
2026/05/28 10:44:27.791, 0 %, 597 MiB
2026/05/28 10:44:37.791, 0 %, 897 MiB
2026/05/28 10:44:47.792, 0 %, 597 MiB
2026/05/28 10:44:57.792, 6 %, 597 MiB
2026/05/28 10:45:07.792, 0 %, 597 MiB
2026/05/28 10:45:17.793, 0 %, 597 MiB
2026/05/28 10:45:27.793, 0 %, 597 MiB
2026/05/28 10:45:37.793, 0 %, 597 MiB
2026/05/28 10:45:47.794, 0 %, 597 MiB
2026/05/28 10:45:57.794, 0 %, 597 MiB
2026/05/28 10:46:07.794, 0 %, 597 MiB
2026/05/28 10:46:17.794, 0 %, 597 MiB
2026/05/28 10:46:27.795, 0 %, 597 MiB
2026/05/28 10:46:37.796, 0 %, 599 MiB
2026/05/28 10:46:47.796, 0 %, 599 MiB
2026/05/28 10:46:57.796, 0 %, 599 MiB
2026/05/28 10:47:07.797, 0 %, 599 MiB
2026/05/28 10:47:17.798, 0 %, 599 MiB
2026/05/28 10:47:27.798, 0 %, 599 MiB
2026/05/28 10:47:37.799, 0 %, 599 MiB
2026/05/28 10:47:47.799, 5 %, 599 MiB
2026/05/28 10:47:57.799, 4 %, 599 MiB
2026/05/28 10:48:07.800, 0 %, 599 MiB
2026/05/28 10:48:17.800, 0 %, 0 MiB
2026/05/28 10:48:27.800, 0 %, 0 MiB
2026/05/28 10:48:37.801, 0 %, 0 MiB
2026/05/28 10:48:47.801, 0 %, 0 MiB
2026/05/28 10:48:57.802, 0 %, 0 MiB
2026/05/28 10:49:07.802, 0 %, 0 MiB
2026/05/28 10:49:17.802, 0 %, 0 MiB
2026/05/28 10:49:27.802, 0 %, 0 MiB
