/workspace/anima/train_carving_dirI.py:269: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=use_amp)
{"step": 5600, "ce_full": 0.003646, "l_psi_ctl": 0.009082, "l_tension_route": 0.000355, "loss": 0.008364, "gn2": 0.001059, "lr": 9.121e-05, "wall_s": 769.23, "gpu_mem_gb": 9.692}
{"step": 5800, "ce_full": 0.004205, "l_psi_ctl": 0.007072, "l_tension_route": 0.000266, "loss": 0.007874, "gn2": 0.001232, "lr": 8.213e-05, "wall_s": 795.71, "gpu_mem_gb": 9.692}
{"step": 6000, "ce_full": 0.0044, "l_psi_ctl": 0.004336, "l_tension_route": 3.1e-05, "loss": 0.006584, "gn2": 0.000735, "lr": 7.361e-05, "wall_s": 822.66, "gpu_mem_gb": 9.692}
{"step": 6200, "ce_full": 0.001233, "l_psi_ctl": 0.003856, "l_tension_route": 0.000249, "loss": 0.003285, "gn2": 0.000274, "lr": 6.572e-05, "wall_s": 850.02, "gpu_mem_gb": 9.692}
{"step": 6400, "ce_full": 0.001346, "l_psi_ctl": 0.002837, "l_tension_route": 7.1e-05, "loss": 0.0028, "gn2": 0.00028, "lr": 5.85e-05, "wall_s": 877.5, "gpu_mem_gb": 9.692}
{"step": 6600, "ce_full": 0.001972, "l_psi_ctl": 0.004813, "l_tension_route": 0.000267, "loss": 0.004512, "gn2": 0.000523, "lr": 5.201e-05, "wall_s": 904.85, "gpu_mem_gb": 9.692}
{"step": 6800, "ce_full": 0.002163, "l_psi_ctl": 0.002519, "l_tension_route": 0.002923, "loss": 0.004885, "gn2": 0.000804, "lr": 4.63e-05, "wall_s": 932.73, "gpu_mem_gb": 9.692}
{"step": 7000, "ce_full": 0.002094, "l_psi_ctl": 0.004964, "l_tension_route": 0.000214, "loss": 0.004683, "gn2": 0.000362, "lr": 4.139e-05, "wall_s": 961.88, "gpu_mem_gb": 9.692}
{"step": 7200, "ce_full": 0.001613, "l_psi_ctl": 0.003777, "l_tension_route": 3.7e-05, "loss": 0.003519, "gn2": 0.000625, "lr": 3.733e-05, "wall_s": 990.35, "gpu_mem_gb": 9.692}
{"step": 7400, "ce_full": 0.003319, "l_psi_ctl": 0.003561, "l_tension_route": 0.000144, "loss": 0.005171, "gn2": 0.000964, "lr": 3.414e-05, "wall_s": 1018.68, "gpu_mem_gb": 9.692}
{"step": 7600, "ce_full": 0.001396, "l_psi_ctl": 0.00358, "l_tension_route": 0.00013, "loss": 0.003251, "gn2": 0.000421, "lr": 3.185e-05, "wall_s": 1046.58, "gpu_mem_gb": 9.692}
{"step": 7800, "ce_full": 0.002597, "l_psi_ctl": 0.008796, "l_tension_route": 0.002086, "loss": 0.008037, "gn2": 0.000761, "lr": 3.047e-05, "wall_s": 1075.15, "gpu_mem_gb": 9.692}
{"step": 8000, "ce_full": 0.000169, "l_psi_ctl": 0.003396, "l_tension_route": 0.000212, "loss": 0.001973, "gn2": 2.6e-05, "lr": 3e-05, "wall_s": 1103.2, "gpu_mem_gb": 9.692}
RESULT_JSON_WRITTEN
{"path": "dirI_psictl_tensionsup", "init_ce": 5.649075, "final_ce": 0.000169, "ce_descent": 5.648906, "final_l_psi_ctl": 0.003396, "final_l_tension_route": 0.000212, "wall_s": 1103.2}
