utilization.gpu [%], memory.used [MiB]
0 %, 1 MiB
94 %, 10141 MiB
95 %, 10141 MiB
92 %, 10141 MiB
93 %, 10141 MiB
94 %, 10141 MiB
93 %, 10141 MiB
95 %, 10141 MiB
94 %, 10141 MiB
93 %, 10141 MiB
94 %, 10141 MiB
96 %, 10141 MiB
95 %, 10141 MiB
94 %, 10141 MiB
94 %, 10141 MiB
95 %, 10141 MiB
94 %, 10141 MiB
94 %, 10141 MiB
94 %, 10141 MiB
94 %, 10141 MiB
95 %, 10141 MiB
93 %, 10141 MiB
96 %, 10141 MiB
