timestamp, utilization.gpu [%], memory.used [MiB]
2026/05/28 10:34:19.762, 0 %, 595 MiB
2026/05/28 10:34:29.763, 0 %, 597 MiB
2026/05/28 10:34:39.764, 0 %, 597 MiB
2026/05/28 10:34:49.765, 0 %, 895 MiB
2026/05/28 10:34:59.766, 0 %, 597 MiB
2026/05/28 10:35:09.767, 0 %, 597 MiB
2026/05/28 10:35:19.768, 0 %, 597 MiB
2026/05/28 10:35:29.769, 0 %, 597 MiB
2026/05/28 10:35:39.770, 0 %, 895 MiB
2026/05/28 10:35:49.771, 0 %, 597 MiB
2026/05/28 10:35:59.772, 0 %, 597 MiB
2026/05/28 10:36:09.772, 0 %, 597 MiB
2026/05/28 10:36:19.773, 0 %, 597 MiB
2026/05/28 10:36:29.774, 0 %, 597 MiB
2026/05/28 10:36:39.775, 0 %, 597 MiB
2026/05/28 10:36:49.776, 0 %, 895 MiB
2026/05/28 10:36:59.776, 0 %, 597 MiB
2026/05/28 10:37:09.777, 0 %, 597 MiB
2026/05/28 10:37:19.778, 0 %, 597 MiB
2026/05/28 10:37:29.779, 0 %, 597 MiB
2026/05/28 10:37:39.779, 0 %, 895 MiB
2026/05/28 10:37:49.780, 0 %, 597 MiB
2026/05/28 10:37:59.781, 0 %, 597 MiB
2026/05/28 10:38:09.782, 0 %, 597 MiB
2026/05/28 10:38:19.782, 0 %, 597 MiB
2026/05/28 10:38:29.783, 0 %, 597 MiB
2026/05/28 10:38:39.784, 0 %, 597 MiB
2026/05/28 10:38:49.785, 0 %, 895 MiB
2026/05/28 10:38:59.786, 0 %, 597 MiB
2026/05/28 10:39:09.787, 0 %, 597 MiB
2026/05/28 10:39:19.788, 0 %, 597 MiB
2026/05/28 10:39:29.789, 0 %, 597 MiB
2026/05/28 10:39:39.790, 0 %, 895 MiB
2026/05/28 10:39:49.790, 0 %, 597 MiB
2026/05/28 10:39:59.791, 0 %, 597 MiB
2026/05/28 10:40:09.792, 0 %, 597 MiB
2026/05/28 10:40:19.793, 0 %, 597 MiB
2026/05/28 10:40:29.794, 0 %, 597 MiB
2026/05/28 10:40:39.795, 0 %, 597 MiB
2026/05/28 10:40:49.796, 0 %, 597 MiB
2026/05/28 10:40:59.796, 0 %, 597 MiB
2026/05/28 10:41:09.797, 0 %, 597 MiB
2026/05/28 10:41:19.798, 0 %, 597 MiB
2026/05/28 10:41:29.799, 0 %, 597 MiB
2026/05/28 10:41:39.800, 0 %, 895 MiB
2026/05/28 10:41:49.801, 0 %, 597 MiB
2026/05/28 10:41:59.802, 0 %, 597 MiB
2026/05/28 10:42:09.803, 0 %, 597 MiB
2026/05/28 10:42:19.804, 0 %, 597 MiB
2026/05/28 10:42:29.805, 0 %, 895 MiB
2026/05/28 10:42:39.806, 0 %, 597 MiB
2026/05/28 10:42:49.807, 0 %, 597 MiB
2026/05/28 10:42:59.807, 0 %, 597 MiB
2026/05/28 10:43:09.808, 0 %, 597 MiB
2026/05/28 10:43:19.809, 0 %, 597 MiB
2026/05/28 10:43:29.810, 0 %, 597 MiB
2026/05/28 10:43:39.811, 0 %, 897 MiB
2026/05/28 10:43:49.812, 0 %, 597 MiB
2026/05/28 10:43:59.813, 0 %, 597 MiB
2026/05/28 10:44:09.814, 0 %, 597 MiB
2026/05/28 10:44:19.815, 0 %, 597 MiB
2026/05/28 10:44:29.815, 0 %, 897 MiB
2026/05/28 10:44:39.816, 0 %, 597 MiB
2026/05/28 10:44:49.817, 0 %, 597 MiB
2026/05/28 10:44:59.818, 0 %, 597 MiB
2026/05/28 10:45:09.819, 0 %, 597 MiB
2026/05/28 10:45:19.820, 0 %, 897 MiB
2026/05/28 10:45:29.820, 0 %, 597 MiB
2026/05/28 10:45:39.821, 0 %, 597 MiB
2026/05/28 10:45:49.822, 0 %, 597 MiB
2026/05/28 10:45:59.823, 0 %, 597 MiB
2026/05/28 10:46:09.823, 0 %, 597 MiB
2026/05/28 10:46:19.824, 0 %, 597 MiB
2026/05/28 10:46:29.825, 0 %, 597 MiB
2026/05/28 10:46:39.826, 0 %, 597 MiB
2026/05/28 10:46:49.826, 0 %, 597 MiB
2026/05/28 10:46:59.827, 0 %, 597 MiB
2026/05/28 10:47:09.828, 0 %, 597 MiB
2026/05/28 10:47:19.829, 0 %, 897 MiB
2026/05/28 10:47:29.829, 0 %, 597 MiB
2026/05/28 10:47:39.830, 0 %, 597 MiB
2026/05/28 10:47:49.831, 0 %, 597 MiB
2026/05/28 10:47:59.832, 0 %, 597 MiB
2026/05/28 10:48:09.833, 0 %, 897 MiB
2026/05/28 10:48:19.833, 0 %, 597 MiB
2026/05/28 10:48:29.834, 0 %, 597 MiB
2026/05/28 10:48:39.835, 0 %, 597 MiB
2026/05/28 10:48:49.836, 0 %, 597 MiB
2026/05/28 10:48:59.837, 0 %, 597 MiB
2026/05/28 10:49:09.837, 0 %, 597 MiB
2026/05/28 10:49:19.838, 13 %, 897 MiB
2026/05/28 10:49:29.839, 0 %, 597 MiB
2026/05/28 10:49:39.840, 0 %, 597 MiB
2026/05/28 10:49:49.841, 0 %, 597 MiB
2026/05/28 10:49:59.841, 0 %, 597 MiB
2026/05/28 10:50:09.842, 0 %, 897 MiB
2026/05/28 10:50:19.843, 0 %, 597 MiB
2026/05/28 10:50:29.844, 0 %, 597 MiB
2026/05/28 10:50:39.845, 0 %, 597 MiB
2026/05/28 10:50:49.845, 0 %, 597 MiB
2026/05/28 10:50:59.846, 0 %, 897 MiB
2026/05/28 10:51:09.847, 0 %, 597 MiB
2026/05/28 10:51:19.848, 0 %, 597 MiB
2026/05/28 10:51:29.849, 0 %, 597 MiB
2026/05/28 10:51:39.849, 0 %, 597 MiB
2026/05/28 10:51:49.850, 0 %, 597 MiB
2026/05/28 10:51:59.851, 0 %, 597 MiB
2026/05/28 10:52:09.852, 0 %, 897 MiB
2026/05/28 10:52:19.852, 0 %, 597 MiB
2026/05/28 10:52:29.853, 0 %, 597 MiB
2026/05/28 10:52:39.854, 0 %, 597 MiB
2026/05/28 10:52:49.855, 0 %, 597 MiB
2026/05/28 10:52:59.855, 0 %, 897 MiB
2026/05/28 10:53:09.856, 0 %, 597 MiB
2026/05/28 10:53:19.857, 0 %, 597 MiB
2026/05/28 10:53:29.858, 0 %, 597 MiB
2026/05/28 10:53:39.858, 0 %, 597 MiB
2026/05/28 10:53:49.859, 0 %, 897 MiB
2026/05/28 10:53:59.860, 0 %, 597 MiB
2026/05/28 10:54:09.861, 0 %, 597 MiB
2026/05/28 10:54:19.862, 0 %, 597 MiB
2026/05/28 10:54:29.863, 0 %, 597 MiB
2026/05/28 10:54:39.864, 0 %, 597 MiB
2026/05/28 10:54:49.864, 0 %, 597 MiB
2026/05/28 10:54:59.865, 0 %, 897 MiB
2026/05/28 10:55:09.866, 0 %, 599 MiB
2026/05/28 10:55:19.867, 0 %, 599 MiB
2026/05/28 10:55:29.868, 0 %, 599 MiB
2026/05/28 10:55:39.869, 0 %, 599 MiB
2026/05/28 10:55:49.869, 0 %, 897 MiB
2026/05/28 10:55:59.870, 0 %, 599 MiB
2026/05/28 10:56:09.871, 0 %, 599 MiB
2026/05/28 10:56:19.872, 0 %, 599 MiB
2026/05/28 10:56:29.872, 0 %, 897 MiB
2026/05/28 10:56:39.873, 0 %, 599 MiB
2026/05/28 10:56:49.874, 0 %, 599 MiB
2026/05/28 10:56:59.875, 6 %, 599 MiB
2026/05/28 10:57:09.875, 0 %, 0 MiB
2026/05/28 10:57:19.876, 0 %, 0 MiB
2026/05/28 10:57:29.877, 0 %, 0 MiB
2026/05/28 10:57:39.878, 0 %, 0 MiB
2026/05/28 10:57:49.879, 0 %, 0 MiB
