level_idx,mesh_size_m,n_nodes,n_elements,t_max_k,delta_t_k,delta_t_k_step,wall_s
0,0.0015,2014,5748,298.15362910541563,5.003629105415655,,0.3647739887237549
1,0.001,4211,12394,298.1536291053834,5.003629105383425,-3.2230218494078144e-11,0.33609986305236816
2,0.0007,8492,24807,298.15362910595934,5.003629105959362,5.759375198977068e-10,0.6469480991363525
3,0.0005,20510,74587,298.1536291053527,5.003629105352729,-6.066329660825431e-10,1.9255101680755615
