utilization.gpu [%], memory.used [MiB]
0 %, 1 MiB
89 %, 10133 MiB
92 %, 10133 MiB
90 %, 10133 MiB
81 %, 10133 MiB
91 %, 10133 MiB
91 %, 10133 MiB
89 %, 10133 MiB
84 %, 10133 MiB
81 %, 10133 MiB
90 %, 10133 MiB
82 %, 10133 MiB
91 %, 10133 MiB
83 %, 10133 MiB
91 %, 10133 MiB
82 %, 10133 MiB
88 %, 10133 MiB
88 %, 10133 MiB
83 %, 10133 MiB
82 %, 10133 MiB
78 %, 10133 MiB
86 %, 10133 MiB
90 %, 10133 MiB
91 %, 10133 MiB
